ChildID,Article,PaperArticle,NumPages
ShortArticleID143,ArticleID143,GArticleID143,4
ShortArticleID147,ArticleID147,GArticleID147,1
ShortArticleID148,ArticleID148,GArticleID148,5
ShortArticleID149,ArticleID149,GArticleID149,4
ShortArticleID150,ArticleID150,GArticleID150,8
ShortArticleID153,ArticleID153,GArticleID153,9
ShortArticleID158,ArticleID158,GArticleID158,6
ShortArticleID164,ArticleID164,GArticleID164,10
ShortArticleID165,ArticleID165,GArticleID165,1
ShortArticleID168,ArticleID168,GArticleID168,7
ShortArticleID171,ArticleID171,GArticleID171,7
ShortArticleID173,ArticleID173,GArticleID173,9
ShortArticleID174,ArticleID174,GArticleID174,4
ShortArticleID182,ArticleID182,GArticleID182,2
ShortArticleID184,ArticleID184,GArticleID184,4
ShortArticleID185,ArticleID185,GArticleID185,4
ShortArticleID189,ArticleID189,GArticleID189,9
ShortArticleID192,ArticleID192,GArticleID192,5
ShortArticleID194,ArticleID194,GArticleID194,10
ShortArticleID195,ArticleID195,GArticleID195,9
ShortArticleID197,ArticleID197,GArticleID197,10
ShortArticleID200,ArticleID200,GArticleID200,10
ShortArticleID201,ArticleID201,GArticleID201,9
ShortArticleID204,ArticleID204,GArticleID204,7
ShortArticleID209,ArticleID209,GArticleID209,3
ShortArticleID210,ArticleID210,GArticleID210,1
ShortArticleID212,ArticleID212,GArticleID212,7
ShortArticleID213,ArticleID213,GArticleID213,6
ShortArticleID218,ArticleID218,GArticleID218,10
ShortArticleID223,ArticleID223,GArticleID223,4
ShortArticleID225,ArticleID225,GArticleID225,2
ShortArticleID227,ArticleID227,GArticleID227,3
ShortArticleID234,ArticleID234,GArticleID234,5
ShortArticleID236,ArticleID236,GArticleID236,5
ShortArticleID240,ArticleID240,GArticleID240,7
ShortArticleID243,ArticleID243,GArticleID243,4
ShortArticleID248,ArticleID248,GArticleID248,10
ShortArticleID254,ArticleID254,GArticleID254,10
ShortArticleID257,ArticleID257,GArticleID257,5
ShortArticleID259,ArticleID259,GArticleID259,7
ShortArticleID262,ArticleID262,GArticleID262,8
ShortArticleID263,ArticleID263,GArticleID263,4
ShortArticleID264,ArticleID264,GArticleID264,4
ShortArticleID268,ArticleID268,GArticleID268,4
ShortArticleID276,ArticleID276,GArticleID276,3
ShortArticleID278,ArticleID278,GArticleID278,1
ShortArticleID282,ArticleID282,GArticleID282,5
ShortArticleID285,ArticleID285,GArticleID285,1
ShortArticleID286,ArticleID286,GArticleID286,7
ShortArticleID288,ArticleID288,GArticleID288,4
ShortArticleID292,ArticleID292,GArticleID292,4
ShortArticleID293,ArticleID293,GArticleID293,3
ShortArticleID299,ArticleID299,GArticleID299,8
ShortArticleID303,ArticleID303,GArticleID303,10
ShortArticleID305,ArticleID305,GArticleID305,10
ShortArticleID306,ArticleID306,GArticleID306,8
ShortArticleID309,ArticleID309,GArticleID309,8
ShortArticleID318,ArticleID318,GArticleID318,5
ShortArticleID322,ArticleID322,GArticleID322,1
ShortArticleID325,ArticleID325,GArticleID325,7
ShortArticleID330,ArticleID330,GArticleID330,9
ShortArticleID334,ArticleID334,GArticleID334,1
ShortArticleID337,ArticleID337,GArticleID337,9
ShortArticleID345,ArticleID345,GArticleID345,7
ShortArticleID348,ArticleID348,GArticleID348,1
ShortArticleID350,ArticleID350,GArticleID350,2
ShortArticleID352,ArticleID352,GArticleID352,4
ShortArticleID357,ArticleID357,GArticleID357,1
ShortArticleID360,ArticleID360,GArticleID360,10
ShortArticleID361,ArticleID361,GArticleID361,2
ShortArticleID362,ArticleID362,GArticleID362,3
ShortArticleID365,ArticleID365,GArticleID365,9
ShortArticleID367,ArticleID367,GArticleID367,9
ShortArticleID369,ArticleID369,GArticleID369,4
ShortArticleID375,ArticleID375,GArticleID375,10
ShortArticleID378,ArticleID378,GArticleID378,10
ShortArticleID382,ArticleID382,GArticleID382,6
ShortArticleID385,ArticleID385,GArticleID385,9
ShortArticleID389,ArticleID389,GArticleID389,4
ShortArticleID390,ArticleID390,GArticleID390,5
ShortArticleID392,ArticleID392,GArticleID392,5
ShortArticleID398,ArticleID398,GArticleID398,10
ShortArticleID399,ArticleID399,GArticleID399,9
ShortArticleID400,ArticleID400,GArticleID400,8
ShortArticleID402,ArticleID402,GArticleID402,6
ShortArticleID407,ArticleID407,GArticleID407,4
ShortArticleID408,ArticleID408,GArticleID408,8
ShortArticleID414,ArticleID414,GArticleID414,5
ShortArticleID416,ArticleID416,GArticleID416,3
ShortArticleID417,ArticleID417,GArticleID417,3
ShortArticleID419,ArticleID419,GArticleID419,9
ShortArticleID421,ArticleID421,GArticleID421,3
ShortArticleID424,ArticleID424,GArticleID424,10
ShortArticleID425,ArticleID425,GArticleID425,4
ShortArticleID432,ArticleID432,GArticleID432,6
ShortArticleID434,ArticleID434,GArticleID434,1
ShortArticleID437,ArticleID437,GArticleID437,1
ShortArticleID438,ArticleID438,GArticleID438,4
ShortArticleID440,ArticleID440,GArticleID440,3
ShortArticleID442,ArticleID442,GArticleID442,5
ShortArticleID444,ArticleID444,GArticleID444,9
ShortArticleID448,ArticleID448,GArticleID448,8
ShortArticleID453,ArticleID453,GArticleID453,7
ShortArticleID454,ArticleID454,GArticleID454,6
ShortArticleID456,ArticleID456,GArticleID456,2
ShortArticleID465,ArticleID465,GArticleID465,5
ShortArticleID468,ArticleID468,GArticleID468,6
ShortArticleID472,ArticleID472,GArticleID472,4
ShortArticleID474,ArticleID474,GArticleID474,10
ShortArticleID476,ArticleID476,GArticleID476,1
ShortArticleID485,ArticleID485,GArticleID485,10
ShortArticleID488,ArticleID488,GArticleID488,8
ShortArticleID492,ArticleID492,GArticleID492,9
ShortArticleID494,ArticleID494,GArticleID494,9
ShortArticleID496,ArticleID496,GArticleID496,9
ShortArticleID506,ArticleID506,GArticleID506,2
ShortArticleID507,ArticleID507,GArticleID507,8
ShortArticleID508,ArticleID508,GArticleID508,1
ShortArticleID509,ArticleID509,GArticleID509,5
ShortArticleID510,ArticleID510,GArticleID510,1
ShortArticleID526,ArticleID526,GArticleID526,4
ShortArticleID527,ArticleID527,GArticleID527,5
ShortArticleID528,ArticleID528,GArticleID528,3
ShortArticleID529,ArticleID529,GArticleID529,8
ShortArticleID530,ArticleID530,GArticleID530,7
ShortArticleID541,ArticleID541,GArticleID541,2
ShortArticleID543,ArticleID543,GArticleID543,9
ShortArticleID550,ArticleID550,GArticleID550,8
ShortArticleID552,ArticleID552,GArticleID552,2
ShortArticleID559,ArticleID559,GArticleID559,4
ShortArticleID561,ArticleID561,GArticleID561,8
ShortArticleID563,ArticleID563,GArticleID563,7
ShortArticleID578,ArticleID578,GArticleID578,1
ShortArticleID579,ArticleID579,GArticleID579,10
ShortArticleID580,ArticleID580,GArticleID580,8
ShortArticleID581,ArticleID581,GArticleID581,10
ShortArticleID582,ArticleID582,GArticleID582,4
ShortArticleID598,ArticleID598,GArticleID598,8
ShortArticleID599,ArticleID599,GArticleID599,5
ShortArticleID600,ArticleID600,GArticleID600,5
ShortArticleID601,ArticleID601,GArticleID601,6
ShortArticleID602,ArticleID602,GArticleID602,2
ShortArticleID618,ArticleID618,GArticleID618,4
ShortArticleID619,ArticleID619,GArticleID619,9
ShortArticleID620,ArticleID620,GArticleID620,5
ShortArticleID621,ArticleID621,GArticleID621,5
ShortArticleID622,ArticleID622,GArticleID622,3
ShortArticleID631,ArticleID631,GArticleID631,3
ShortArticleID638,ArticleID638,GArticleID638,8
ShortArticleID639,ArticleID639,GArticleID639,7
ShortArticleID640,ArticleID640,GArticleID640,8
ShortArticleID647,ArticleID647,GArticleID647,3
ShortArticleID651,ArticleID651,GArticleID651,5
ShortArticleID658,ArticleID658,GArticleID658,3
ShortArticleID659,ArticleID659,GArticleID659,2
ShortArticleID660,ArticleID660,GArticleID660,8
ShortArticleID667,ArticleID667,GArticleID667,1
ShortArticleID671,ArticleID671,GArticleID671,9
ShortArticleID678,ArticleID678,GArticleID678,9
ShortArticleID679,ArticleID679,GArticleID679,9
ShortArticleID680,ArticleID680,GArticleID680,7
ShortArticleID689,ArticleID689,GArticleID689,4
ShortArticleID693,ArticleID693,GArticleID693,2
ShortArticleID695,ArticleID695,GArticleID695,2
ShortArticleID696,ArticleID696,GArticleID696,10
ShortArticleID702,ArticleID702,GArticleID702,3
ShortArticleID709,ArticleID709,GArticleID709,4
ShortArticleID713,ArticleID713,GArticleID713,1
ShortArticleID715,ArticleID715,GArticleID715,10
ShortArticleID716,ArticleID716,GArticleID716,8
ShortArticleID722,ArticleID722,GArticleID722,3
ShortArticleID729,ArticleID729,GArticleID729,6
ShortArticleID733,ArticleID733,GArticleID733,4
ShortArticleID735,ArticleID735,GArticleID735,3
ShortArticleID736,ArticleID736,GArticleID736,5
ShortArticleID744,ArticleID744,GArticleID744,2
ShortArticleID751,ArticleID751,GArticleID751,2
ShortArticleID752,ArticleID752,GArticleID752,9
ShortArticleID753,ArticleID753,GArticleID753,9
ShortArticleID755,ArticleID755,GArticleID755,7
ShortArticleID764,ArticleID764,GArticleID764,7
ShortArticleID771,ArticleID771,GArticleID771,10
ShortArticleID772,ArticleID772,GArticleID772,8
ShortArticleID773,ArticleID773,GArticleID773,10
ShortArticleID775,ArticleID775,GArticleID775,1
ShortArticleID782,ArticleID782,GArticleID782,8
ShortArticleID786,ArticleID786,GArticleID786,1
ShortArticleID790,ArticleID790,GArticleID790,8
ShortArticleID794,ArticleID794,GArticleID794,1
ShortArticleID798,ArticleID798,GArticleID798,5
ShortArticleID802,ArticleID802,GArticleID802,7
ShortArticleID806,ArticleID806,GArticleID806,5
ShortArticleID810,ArticleID810,GArticleID810,4
ShortArticleID814,ArticleID814,GArticleID814,2
ShortArticleID818,ArticleID818,GArticleID818,10
ShortArticleID822,ArticleID822,GArticleID822,6
ShortArticleID826,ArticleID826,GArticleID826,9
ShortArticleID830,ArticleID830,GArticleID830,10
ShortArticleID834,ArticleID834,GArticleID834,7
ShortArticleID838,ArticleID838,GArticleID838,10
ShortArticleID842,ArticleID842,GArticleID842,10
ShortArticleID845,ArticleID845,GArticleID845,1
ShortArticleID848,ArticleID848,GArticleID848,10
ShortArticleID852,ArticleID852,GArticleID852,2
ShortArticleID854,ArticleID854,GArticleID854,9
ShortArticleID856,ArticleID856,GArticleID856,7
ShortArticleID865,ArticleID865,GArticleID865,3
ShortArticleID868,ArticleID868,GArticleID868,2
ShortArticleID872,ArticleID872,GArticleID872,4
ShortArticleID874,ArticleID874,GArticleID874,1
ShortArticleID876,ArticleID876,GArticleID876,9
ShortArticleID885,ArticleID885,GArticleID885,4
ShortArticleID888,ArticleID888,GArticleID888,6
