NumOfChapters,FullPaper,Article,Title,Author,Name,Venue,VenueName,Journal,Volume,Handler,StartDate
6,FullArticleID387,ArticleID387,Time reversal techniques,AuthorID137,Park J.L.,VJID003,International Journal of Technology and Design Education,JID003,IJTDE Vol 2,HandlerID004,11/11/2000
9,FullArticleID391,ArticleID391,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,AuthorID141,Wang N.,VJID003,International Journal of Technology and Design Education,JID003,IJTDE Vol 1,HandlerID004,11/11/2000
11,FullArticleID394,ArticleID394,Overview of estimation methods for industrial dynamic systems,AuthorID144,Ling M.,VJID005,OSA Continuum,JID005,OSAC Vol 1,HandlerID007,05/09/1993
3,FullArticleID396,ArticleID396,Accelerating silicon photonic parameter extraction using artificial neural networks,AuthorID146,Jamal A.-S.,VJID005,OSA Continuum,JID005,OSAC Vol 3,HandlerID007,05/09/1993
8,FullArticleID403,ArticleID403,Orthogonal liquid-jet impingement on wettability-patterned impermeable substrates,AuthorID153,Anderson B.E.,VJID005,OSA Continuum,JID005,OSAC Vol 5,HandlerID007,05/09/1993
4,FullArticleID404,ArticleID404,"Oat improvement and innovation using wild genetic resources (poaceae, Avena spp.): Elevating â€œoatsâ€ to a new level and stature",AuthorID154,Humpherys J.,VJID005,OSA Continuum,JID005,OSAC Vol 2,HandlerID007,05/09/1993
11,FullArticleID405,ArticleID405,Interspecific hybridization for upland cotton improvement,AuthorID155,Johnson C.A.,VJID005,OSA Continuum,JID005,OSAC Vol 3,HandlerID007,05/09/1993
10,FullArticleID406,ArticleID406,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,AuthorID156,Wall A.T.,VJID005,OSA Continuum,JID005,OSAC Vol 4,HandlerID007,05/09/1993
6,FullArticleID413,ArticleID413,Product development: Principles and tools for creating desirable and transferable designs,AuthorID163,Lignell D.O.,VJID005,OSA Continuum,JID005,OSAC Vol 6,HandlerID007,05/09/1993
4,FullArticleID415,ArticleID415,Planning and Analyzing Experiments with Models that Distinguish Between Replicates and Repeats,AuthorID165,Miles M.P.,VJID005,OSA Continuum,JID005,OSAC Vol 1,HandlerID007,05/09/1993
5,FullArticleID418,ArticleID418,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,AuthorID168,Davidson A.D.,VJID005,OSA Continuum,JID005,OSAC Vol 4,HandlerID007,05/09/1993
3,FullArticleID427,ArticleID427,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application",AuthorID177,Swift S.H.,VJID005,OSA Continuum,JID005,OSAC Vol 4,HandlerID007,05/09/1993
11,FullArticleID429,ArticleID429,Insights into grain boundary energy structure-property relationships by examining computed [1â€‰0â€‰0] disorientation axis grain boundaries in Nickel,AuthorID179,Wallace J.W.,VJID005,OSA Continuum,JID005,OSAC Vol 6,HandlerID007,05/09/1993
7,FullArticleID435,ArticleID435,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,AuthorID185,Roy J.,VJID005,OSA Continuum,JID005,OSAC Vol 3,HandlerID007,05/09/1993
11,FullArticleID436,ArticleID436,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,AuthorID186,Bodily D.M.,VJID005,OSA Continuum,JID005,OSAC Vol 1,HandlerID007,05/09/1993
4,FullArticleID439,ArticleID439,Site effects in Mexico City basin: Past and present,AuthorID189,Bodily D.M.,VJID005,OSA Continuum,JID005,OSAC Vol 4,HandlerID007,05/09/1993
10,FullArticleID443,ArticleID443,Human factors in mission control centers,AuthorID193,Transtrum M.K.,VJID005,OSA Continuum,JID005,OSAC Vol 3,HandlerID007,05/09/1993
8,FullArticleID447,ArticleID447,"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",AuthorID050,Swindlehurst E.,VJID005,OSA Continuum,JID005,OSAC Vol 3,HandlerID007,05/09/1993
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
