Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,NumberOfDays,Workshop,Venue,VenueName,Conference,Proceeding,Handler,StartDate
8,PosterArticleID841,,,,,,,ArticleID841,Advances in Signal Processing for Friction Stir Welding Temperature Control,AuthorID572, Roy S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID568,DemoArticleID568,,,,,ArticleID568,Proving data race freedom in task parallel programs using a weaker partial order,AuthorID299, Ferguson S.M.,8,WCID019,VCID019,International Conference on Industrial Engineering and Operations Management (IEOM),CID019,IEOM Ed 1,HandlerID025,01/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID588,DemoArticleID588,,,,,ArticleID588,Improved Track Continuity in Multi Target Tracking by Fusing Multiple Input Sources,AuthorID319, Fujimoto M.S.,8,WCID019,VCID019,International Conference on Industrial Engineering and Operations Management (IEOM),CID019,IEOM Ed 1,HandlerID025,01/12/1990
10,PosterArticleID573,,,,,,,ArticleID573,Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,AuthorID304, Fletcher M.,8,WCID019,VCID019,International Conference on Industrial Engineering and Operations Management (IEOM),CID019,IEOM Ed 1,HandlerID025,01/12/1990
28,PosterArticleID593,,,,,,,ArticleID593,Towards a universal social impact metric for engineered products that alleviate poverty,AuthorID324, Fullwood D.T.,8,WCID019,VCID019,International Conference on Industrial Engineering and Operations Management (IEOM),CID019,IEOM Ed 1,HandlerID025,01/12/1990
5,PosterArticleID613,,,,,,,ArticleID613,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds,AuthorID344, Halverson D.M.,8,WCID019,VCID019,International Conference on Industrial Engineering and Operations Management (IEOM),CID019,IEOM Ed 1,HandlerID025,01/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID582",ShortArticleID582,ArticleID582,The secure socket API: TLS as an operating system service,AuthorID313, Franke K.,6,WCID020,VCID020,International Conference on Mathematics and Engineering (ICME),CID020,ICME Ed 1,HandlerID026,11/03/1992
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID602",ShortArticleID602,ArticleID602,Realizing origami mechanisms from metal sheets,AuthorID333, Glorieux C.,6,WCID020,VCID020,International Conference on Mathematics and Engineering (ICME),CID020,ICME Ed 1,HandlerID026,11/03/1992
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID622",ShortArticleID622,ArticleID622,A simple starting point for designing for and/or assessing the social impact of products,AuthorID353, Haskell M.,6,WCID020,VCID020,International Conference on Mathematics and Engineering (ICME),CID020,ICME Ed 1,HandlerID026,11/03/1992
,,,,8,FullArticleID607,,,ArticleID607,Kinematics and discretization of curved-fold mechanisms,AuthorID338, Gustafson E.,6,WCID020,VCID020,International Conference on Mathematics and Engineering (ICME),CID020,ICME Ed 1,HandlerID026,11/03/1992
,,,,21,FullArticleID627,,,ArticleID627,Predicting efficiency of a turbine driven by pulsing flow,AuthorID358, Hawkins A.R.,6,WCID020,VCID020,International Conference on Mathematics and Engineering (ICME),CID020,ICME Ed 1,HandlerID026,11/03/1992
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID601",ShortArticleID601,ArticleID601,Regular 2D and 3D linkage-based origami tessellations,AuthorID332, Ghamkhar R.,7,WCID021,VCID021,"International Conference on Advances in Science, Engineering and Technology (ICASET)",CID021,ICASET Ed 1,HandlerID027,07/05/2002
,,,,7,FullArticleID587,,,ArticleID587,Relative moving target tracking and circumnavigation,AuthorID318, Fronk T.,7,WCID021,VCID021,"International Conference on Advances in Science, Engineering and Technology (ICASET)",CID021,ICASET Ed 1,HandlerID027,07/05/2002
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID572,DemoArticleID572,,,,,ArticleID572,Design education and the new culture of design centric intellectual property,AuthorID303, Field D.P.,7,WCID021,VCID021,"International Conference on Advances in Science, Engineering and Technology (ICASET)",CID021,ICASET Ed 1,HandlerID027,07/05/2002
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID592,DemoArticleID592,,,,,ArticleID592,A Class of Logistic Functions for Approximating State-Inclusive Koopman Operators,AuthorID323, Fullwood D.T.,7,WCID021,VCID021,"International Conference on Advances in Science, Engineering and Technology (ICASET)",CID021,ICASET Ed 1,HandlerID027,07/05/2002
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID612,DemoArticleID612,,,,,ArticleID612,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,AuthorID343, Halverson D.M.,7,WCID021,VCID021,"International Conference on Advances in Science, Engineering and Technology (ICASET)",CID021,ICASET Ed 1,HandlerID027,07/05/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID621",ShortArticleID621,ArticleID621,"An assessment of village drill sustainability, with recommendations",AuthorID352, Hartman B.M.,11,WCID022,VCID022,Society for Neuroscience Annual Meeting (SfN) ,CID022,SfN Ed 1,HandlerID028,12/12/1990
,,,,29,FullArticleID606,,,ArticleID606,Kirigami-based deployable transcrease hard stop models usable in origami patterns,AuthorID337, Griffin D.,11,WCID022,VCID022,Society for Neuroscience Annual Meeting (SfN) ,CID022,SfN Ed 1,HandlerID028,12/12/1990
25,PosterArticleID577,,,,,,,ArticleID577,Application of “CODeve” methodology in transatlantic student design project,AuthorID308, Fletcher T.H.,11,WCID022,VCID022,Society for Neuroscience Annual Meeting (SfN) ,CID022,SfN Ed 1,HandlerID028,12/12/1990
30,PosterArticleID597,,,,,,,ArticleID597,Split-vertex technique for thickness-accommodation in origami-based mechanisms,AuthorID328, Ganjalizadeh V.,11,WCID022,VCID022,Society for Neuroscience Annual Meeting (SfN) ,CID022,SfN Ed 1,HandlerID028,12/12/1990
27,PosterArticleID617,,,,,,,ArticleID617,Conceptualizing stable states in origami-based devices using an energy visualization approach,AuthorID348, Harrison W.K.,11,WCID022,VCID022,Society for Neuroscience Annual Meeting (SfN) ,CID022,SfN Ed 1,HandlerID028,12/12/1990
