ShortAbstract	ShortPaper	Article	Title	Author	Name	Venue	VenueName	Journal	Volume	Handler	StartDate
Abstract:Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors ...	ShortArticleID432	ArticleID432	Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors	AuthorID182	Pehrson N.A.	VJID005	OSA Continuum	JID005	OSAC Vol 4	HandlerID007	05/09/1993
Abstract:Natural frequencies of piled raft foundation including superstructure effect ...	ShortArticleID442	ArticleID442	Natural frequencies of piled raft foundation including superstructure effect	AuthorID192	Penner J.F.	VJID005	OSA Continuum	JID005	OSAC Vol 2	HandlerID007	05/09/1993
Abstract:Non-dimensional modeling of the effects of weld parameters on peak temperature and cooling rate in friction stir welding ...	ShortArticleID276	ArticleID276	Non-dimensional modeling of the effects of weld parameters on peak temperature and cooling rate in friction stir welding	AuthorID026	Goode T.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors ...	ShortArticleID025	ArticleID025	Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors	AuthorID025	Walton M.P.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 5	HandlerID002	12/03/2006
Abstract:Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load ...	ShortArticleID330	ArticleID330	Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load	AuthorID080	Stott M.A.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:On Sparse Channel Estimation in Aeronautical Telemetry ...	ShortArticleID132	ArticleID132	On Sparse Channel Estimation in Aeronautical Telemetry	AuthorID032	Allen J.D.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 3	HandlerID003	09/06/1997
Abstract:One-dimensional turbulence modeling for cylindrical and spherical flows: model formulation and application ...	ShortArticleID448	ArticleID448	One-dimensional turbulence modeling for cylindrical and spherical flows: model formulation and application	AuthorID051	Martin R.A.	VJID005	OSA Continuum	JID005	OSAC Vol 4	HandlerID007	05/09/1993
Abstract:Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments ...	ShortArticleID093	ArticleID093	Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments	AuthorID043	Lyman C.A.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 4	HandlerID003	09/06/1997
Abstract:Optimization and implementation of synthetic basis feature descriptor on FPGA ...	ShortArticleID086	ArticleID086	Optimization and implementation of synthetic basis feature descriptor on FPGA	AuthorID036	Manning A.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 2	HandlerID003	09/06/1997
Abstract:Optofluidic lab-on-a-chip fluorescence sensor using integrated buried ARROW (bARROW) waveguides ...	ShortArticleID361	ArticleID361	Optofluidic lab-on-a-chip fluorescence sensor using integrated buried ARROW (bARROW) waveguides	AuthorID111	Diao J.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
Abstract:Origami-inspired sacrificial joints for folding compliant mechanisms ...	ShortArticleID348	ArticleID348	Origami-inspired sacrificial joints for folding compliant mechanisms	AuthorID098	Consalvi J.L.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:Overestimation of liquefaction hazard in areas of low to moderate seismicity due to improper characterization of probabilistic seismic loading ...	ShortArticleID440	ArticleID440	Overestimation of liquefaction hazard in areas of low to moderate seismicity due to improper characterization of probabilistic seismic loading	AuthorID190	Poornejad N.	VJID005	OSA Continuum	JID005	OSAC Vol 5	HandlerID007	05/09/1993
Abstract:Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase ...	ShortArticleID037	ArticleID037	Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase	AuthorID037	Kincaid C.J.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 2	HandlerID001	01/02/1990
"Abstract:Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates ..."	ShortArticleID125	ArticleID125	"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates"	AuthorID025	Walton M.P.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 1	HandlerID003	09/06/1997
Abstract:Plain-Style Preferences of US Professionals ...	ShortArticleID174	ArticleID174	Plain-Style Preferences of US Professionals	AuthorID024	Arabian F.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 4	HandlerID004	11/11/2000
Abstract:Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells ...	ShortArticleID257	ArticleID257	Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells	AuthorID007	Gunnarsson A.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
Abstract:Predicting Lap Shear Strength for Friction Stir Scribe Joining of Dissimilar Materials ...	ShortArticleID367	ArticleID367	Predicting Lap Shear Strength for Friction Stir Scribe Joining of Dissimilar Materials	AuthorID117	Butler J.	VJID004	JOM	JID004	JOM Vol 3	HandlerID005	07/12/1987
Abstract:Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys ...	ShortArticleID288	ArticleID288	Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys	AuthorID038	Smiley A.J.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project ...	ShortArticleID192	ArticleID192	Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project	AuthorID042	Villalon-Reina J.E.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 2	HandlerID004	11/11/2000
Abstract:Quantifying the effects of various factors on the utility of design ethnography in the developing world ...	ShortArticleID421	ArticleID421	Quantifying the effects of various factors on the utility of design ethnography in the developing world	AuthorID171	Sun G.	VJID005	OSA Continuum	JID005	OSAC Vol 2	HandlerID007	05/09/1993
Abstract:Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit ...	ShortArticleID124	ArticleID124	Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit	AuthorID024	Arabian F.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 5	HandlerID003	09/06/1997
"Abstract:Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding ..."	ShortArticleID035	ArticleID035	"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding"	AuthorID035	Frazer D.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 5	HandlerID002	12/03/2006
"Abstract:Relationships between footwear, foot structure, and foot muscle strength ..."	ShortArticleID105	ArticleID105	"Relationships between footwear, foot structure, and foot muscle strength"	AuthorID005	Rice M.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 1	HandlerID003	09/06/1997
Abstract:Relative navigation of fixed-wing aircraft in GPS-denied environments ...	ShortArticleID378	ArticleID378	Relative navigation of fixed-wing aircraft in GPS-denied environments	AuthorID128	Saleh A.M.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 3	HandlerID004	11/11/2000
Abstract:Reservoir sustainability and sediment management ...	ShortArticleID322	ArticleID322	Reservoir sustainability and sediment management	AuthorID072	Riding K.A.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:Running shoe optimal stiffness and speed ...	ShortArticleID104	ArticleID104	Running shoe optimal stiffness and speed	AuthorID004	Vaughn A.B.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 5	HandlerID003	09/06/1997
Abstract:Scalable fabric tactile sensor arrays for soft bodies ...	ShortArticleID299	ArticleID299	Scalable fabric tactile sensor arrays for soft bodies	AuthorID049	Sayre A.	VJID004	JOM	JID004	JOM Vol 3	HandlerID005	07/12/1987
Abstract:Selective hardening for neural networks in FPGAs ...	ShortArticleID164	ArticleID164	Selective hardening for neural networks in FPGAs	AuthorID014	Laycock R.G.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 4	HandlerID004	11/11/2000
"Abstract:Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft ..."	ShortArticleID013	ArticleID013	"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft"	AuthorID013	Liu F.C.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 3	HandlerID001	01/02/1990
Abstract:Shear joy of watching paint dry ...	ShortArticleID402	ArticleID402	Shear joy of watching paint dry	AuthorID152	Thomas M.	VJID005	OSA Continuum	JID005	OSAC Vol 4	HandlerID007	05/09/1993
Abstract:Simphony: An open-source photonic integrated circuit simulation framework ...	ShortArticleID075	ArticleID075	Simphony: An open-source photonic integrated circuit simulation framework	AuthorID025	Walton M.P.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 1	HandlerID003	09/06/1997
Abstract:Simulations in Construction and Engineering Management Education to Explore Professional Challenges ...	ShortArticleID306	ArticleID306	Simulations in Construction and Engineering Management Education to Explore Professional Challenges	AuthorID056	Rossiter J.A.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:Single pursuer and two cooperative evaders in the border defense differential game ...	ShortArticleID225	ArticleID225	Single pursuer and two cooperative evaders in the border defense differential game	AuthorID025	Walton M.P.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
"Abstract:Social impact in product design, an exploration of current industry practices ..."	ShortArticleID408	ArticleID408	"Social impact in product design, an exploration of current industry practices"	AuthorID158	Diao J.	VJID005	OSA Continuum	JID005	OSAC Vol 6	HandlerID007	05/09/1993
Abstract:Solid-state membranes formed on natural menisci ...	ShortArticleID375	ArticleID375	Solid-state membranes formed on natural menisci	AuthorID125	Tucker A.L.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 5	HandlerID004	11/11/2000
Abstract:Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas ...	ShortArticleID128	ArticleID128	Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas	AuthorID028	Farnsworth C.B.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 4	HandlerID003	09/06/1997
Abstract:SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage ...	ShortArticleID084	ArticleID084	SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage	AuthorID034	Unrau M.A.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 5	HandlerID003	09/06/1997
Abstract:Static structures in leaky mode waveguides ...	ShortArticleID029	ArticleID029	Static structures in leaky mode waveguides	AuthorID029	Wu R.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 4	HandlerID002	12/03/2006
Abstract:Strategies employed and lessons learned by commercial construction companies during economic recession and recovery ...	ShortArticleID248	ArticleID248	Strategies employed and lessons learned by commercial construction companies during economic recession and recovery	AuthorID048	Redd B.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
"Abstract:Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths ..."	ShortArticleID076	ArticleID076	"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"	AuthorID026	Goode T.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 2	HandlerID003	09/06/1997
Abstract:Structural analysis and optimization of tall buildings connected with skybridges and atria ...	ShortArticleID444	ArticleID444	Structural analysis and optimization of tall buildings connected with skybridges and atria	AuthorID194	Hunter A.	VJID005	OSA Continuum	JID005	OSAC Vol 4	HandlerID007	05/09/1993
Abstract:Submerged hydraulic jump remediation at low-head dams: Partial width deflector design ...	ShortArticleID268	ArticleID268	Submerged hydraulic jump remediation at low-head dams: Partial width deflector design	AuthorID018	Rogers W.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms ...	ShortArticleID044	ArticleID044	Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms	AuthorID044	Fujimoto M.S.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 4	HandlerID002	12/03/2006
"Abstract:Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability ..."	ShortArticleID240	ArticleID240	"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability"	AuthorID040	Zou Z.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:Testing and analysis of masonry hollow clay block prisms filled with mortar ...	ShortArticleID212	ArticleID212	Testing and analysis of masonry hollow clay block prisms filled with mortar	AuthorID012	Libano F.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 2	HandlerID004	11/11/2000
Abstract:The AFLOW Library of Crystallographic Prototypes: Part 2 ...	ShortArticleID047	ArticleID047	The AFLOW Library of Crystallographic Prototypes: Part 2	AuthorID047	Afran M.S.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 2	HandlerID001	01/02/1990
Abstract:The Effect of Antenna Mutual Coupling on MIMO Radar System Performance ...	ShortArticleID136	ArticleID136	The Effect of Antenna Mutual Coupling on MIMO Radar System Performance	AuthorID036	Manning A.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 1	HandlerID004	11/11/2000
Abstract:The effects of transition style for collaborative view sharing in immersive Virtual Reality ...	ShortArticleID074	ArticleID074	The effects of transition style for collaborative view sharing in immersive Virtual Reality	AuthorID024	Arabian F.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 5	HandlerID003	09/06/1997
"Abstract:The human touch: How non-expert users perceive, interpret, and fix topic models ..."	ShortArticleID209	ArticleID209	"The human touch: How non-expert users perceive, interpret, and fix topic models"	AuthorID009	Neilsen T.B.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 4	HandlerID004	11/11/2000
Abstract:The Sobrado Vallim Rehabilitation Project ...	ShortArticleID424	ArticleID424	The Sobrado Vallim Rehabilitation Project	AuthorID174	Meena G.G.	VJID005	OSA Continuum	JID005	OSAC Vol 5	HandlerID007	05/09/1993
Abstract:Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas ...	ShortArticleID365	ArticleID365	Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas	AuthorID115	Searle M.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
"Abstract:Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip ..."	ShortArticleID201	ArticleID201	"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip"	AuthorID001	Ozcelik D.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 1	HandlerID004	11/11/2000
Abstract:Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip ...	ShortArticleID200	ArticleID200	Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip	AuthorID050	Swindlehurst E.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 5	HandlerID004	11/11/2000
Abstract:Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry ...	ShortArticleID197	ArticleID197	Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry	AuthorID047	Afran M.S.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 2	HandlerID004	11/11/2000
Abstract:Three-dimensional microscopic light field particle image velocimetry ...	ShortArticleID098	ArticleID098	Three-dimensional microscopic light field particle image velocimetry	AuthorID048	Redd B.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 4	HandlerID003	09/06/1997
Abstract:Tracking joint angles during whole-arm movements using electromagnetic sensors ...	ShortArticleID234	ArticleID234	Tracking joint angles during whole-arm movements using electromagnetic sensors	AuthorID034	Unrau M.A.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems ...	ShortArticleID243	ArticleID243	Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems	AuthorID043	Lyman C.A.	VJID004	JOM	JID004	JOM Vol 3	HandlerID005	07/12/1987
Abstract:Turning depths: Evanescent to propagating wave kinetic energy density ...	ShortArticleID400	ArticleID400	Turning depths: Evanescent to propagating wave kinetic energy density	AuthorID150	Allender E.J.	VJID005	OSA Continuum	JID005	OSAC Vol 2	HandlerID007	05/09/1993
Abstract:Two-phase flow pressure drop in superhydrophobic channels ...	ShortArticleID195	ArticleID195	Two-phase flow pressure drop in superhydrophobic channels	AuthorID045	Safdari M.-S.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 5	HandlerID004	11/11/2000
Abstract:Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors ...	ShortArticleID318	ArticleID318	Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors	AuthorID068	Yuan Y.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:Using case-method pedagogy to facilitate audience awareness ...	ShortArticleID173	ArticleID173	Using case-method pedagogy to facilitate audience awareness	AuthorID023	Jain P.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 3	HandlerID004	11/11/2000
Abstract:Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities ...	ShortArticleID082	ArticleID082	Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities	AuthorID032	Allen J.D.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 3	HandlerID003	09/06/1997
Abstract:Village Drill: A Case Study in Engineering for Global Development with Five Years of Data Post Market-Introduction ...	ShortArticleID282	ArticleID282	Village Drill: A Case Study in Engineering for Global Development with Five Years of Data Post Market-Introduction	AuthorID032	Allen J.D.	VJID004	JOM	JID004	JOM Vol 2	HandlerID005	07/12/1987
Abstract:Water entry of deformable spheres ...	ShortArticleID259	ArticleID259	Water entry of deformable spheres	AuthorID009	Neilsen T.B.	VJID004	JOM	JID004	JOM Vol 3	HandlerID005	07/12/1987
Abstract:When do workarounds help or hurt patient outcomes? The moderating role of operational failures ...	ShortArticleID305	ArticleID305	When do workarounds help or hurt patient outcomes? The moderating role of operational failures	AuthorID055	Clavijo C.E.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
